gwas,specificity_id,annotation,beta,beta_se,pvalue
SCZ_PGC3_2020,GSE101601_Temporal_Cortex,zfp804b,0.09608105168191224,0.32827956241669504,0.3849038680016443
SCZ_PGC3_2020,GSE101601_Temporal_Cortex,col5a2,0.03211050012152473,0.2517538522982148,0.4492624034822055
SCZ_PGC3_2020,GSE101601_Temporal_Cortex,pdzd2,-0.06043048497426262,0.33893336623163817,0.5707424478178517
SCZ_PGC3_2020,GSE101601_Temporal_Cortex,gaba_sst,-0.08861529393970125,0.2380737759665507,0.6451077488095891
SCZ_PGC3_2020,GSE101601_Temporal_Cortex,htrc2,-0.1055012940991246,0.2469867693349972,0.6653349186809459
SCZ_PGC3_2020,GSE101601_Temporal_Cortex,dcc,-0.15193410008591413,0.3318575247501511,0.6764285363275154
SCZ_PGC3_2020,GSE101601_Temporal_Cortex,gaba_sox6_tac1,-0.13901308066336548,0.2332583748871135,0.7243536268268319
SCZ_PGC3_2020,GSE101601_Temporal_Cortex,gaba_vip,-0.16540102295795633,0.2354164745028501,0.7587882652615029
SCZ_PGC3_2020,GSE101601_Temporal_Cortex,il1rapl2,-0.3099841937024504,0.2319257359005543,0.9092142313444064
SCZ_PGC3_2020,GSE101601_Temporal_Cortex,gaba_fbxl7,-0.3444690172714281,0.23832640466852065,0.9257156646050958
SCZ_PGC3_2020,GSE101601_Temporal_Cortex,gaba_reln,-0.5185025310806484,0.25048882442103226,0.9806846898961444
SCZ_PGC3_2020,tabula_muris,Brain_Non-Myeloid.neuron,0.5353455097819215,0.057477389380221226,7.082113122290244e-21
SCZ_PGC3_2020,tabula_muris,Marrow.late_pro-B_cell,0.3892505128330476,0.07219241458220367,3.544888882512908e-08
SCZ_PGC3_2020,tabula_muris,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,0.3247807516946731,0.061883255021207666,7.791252135071353e-08
SCZ_PGC3_2020,tabula_muris,Marrow.common_lymphoid_progenitor,0.34049631660151225,0.06916227047139595,4.3078571300619316e-07
SCZ_PGC3_2020,tabula_muris,Pancreas.type_B_pancreatic_cell,0.27785808259569456,0.061926271451746666,3.6425853882838263e-06
SCZ_PGC3_2020,tabula_muris,Brain_Non-Myeloid.oligodendrocyte,0.294055907758579,0.06742446982688334,6.5130680756205786e-06
SCZ_PGC3_2020,tabula_muris,Marrow.megakaryocyte-erythroid_progenitor_cell,0.30802780732881185,0.07832178127995748,4.217992747075833e-05
SCZ_PGC3_2020,tabula_muris,Marrow.granulocyte_monocyte_progenitor_cell,0.31020174880183593,0.07949827134209897,4.7930834667603205e-05
SCZ_PGC3_2020,tabula_muris,Marrow.Slamf1-positive_multipotent_progenitor_cell,0.276296763944428,0.07302398021167368,7.760457524100697e-05
SCZ_PGC3_2020,tabula_muris,Pancreas.pancreatic_A_cell,0.236356433150692,0.06478166025209624,0.00013237518129753865
SCZ_PGC3_2020,tabula_muris,Marrow.immature_B_cell,0.3091164000888578,0.08611105204832023,0.00016608357154393515
SCZ_PGC3_2020,tabula_muris,Marrow.Slamf1-negative_multipotent_progenitor_cell,0.2301374360860777,0.06807842999412785,0.00036281727471771465
SCZ_PGC3_2020,tabula_muris,Pancreas.pancreatic_D_cell,0.19197051679754729,0.06474597007526,0.001516129815852489
