gwas,specificity_id,annotation,beta,beta_se,pvalue
SCZ_PGC3_2020,PsychENCODE_DER-22,Ex1,3.10425577482e-08,6.67655373298e-09,1.6637986572600001e-06
SCZ_PGC3_2020,PsychENCODE_DER-22,Ex3e,4.5090898365099997e-08,1.00744856001e-08,3.8071426980699997e-06
SCZ_PGC3_2020,PsychENCODE_DER-22,Ex4,2.64613272466e-08,7.34303865166e-09,0.000156923813764
SCZ_PGC3_2020,PsychENCODE_DER-22,Ex9,3.09787399318e-08,9.13028300783e-09,0.00034570108111100004
SCZ_PGC3_2020,PsychENCODE_DER-22,Ex5b,2.3462303722099997e-08,7.376372833740001e-09,0.0007345040345310001
SCZ_PGC3_2020,PsychENCODE_DER-22,Ex2,2.30347330666e-08,8.095972712260001e-09,0.00221911574955
SCZ_PGC3_2020,PsychENCODE_DER-22,Ex6b,1.5450907014e-08,6.1869497933e-09,0.00625647496441
SCZ_PGC3_2020,PsychENCODE_DER-22,Ex8,1.53235541181e-08,7.804544480850001e-09,0.024799027674500002
SCZ_PGC3_2020,PsychENCODE_DER-22,In1a,1.69266436352e-08,1.0483305731499999e-08,0.05319559079530001
SCZ_PGC3_2020,PsychENCODE_DER-22,In4b,1.21379215107e-08,8.0727636222e-09,0.066346757428
SCZ_PGC3_2020,PsychENCODE_DER-22,In1b,1.2894921953799998e-08,9.78780605528e-09,0.093844311116
SCZ_PGC3_2020,PsychENCODE_DER-22,In7,1.00063676963e-08,7.72502905346e-09,0.0976053093281
SCZ_PGC3_2020,PsychENCODE_DER-22,In3,9.45865055316e-09,8.487664095909999e-09,0.132553870157
SCZ_PGC3_2020,PsychENCODE_DER-22,In6a,9.004030249299998e-09,8.6432824073e-09,0.148766729988
SCZ_PGC3_2020,PsychENCODE_DER-22,In6b,6.06127799157e-09,6.42992086611e-09,0.17292547855300003
SCZ_PGC3_2020,PsychENCODE_DER-22,In1c,8.13541856278e-09,9.60703328674e-09,0.19854800107599999
SCZ_PGC3_2020,PsychENCODE_DER-22,In4a,5.81586485536e-09,9.58008985754e-09,0.271899468584
SCZ_PGC3_2020,PsychENCODE_DER-22,In8,3.2647461751800002e-09,6.84449908e-09,0.316685216411
SCZ_PGC3_2020,PsychENCODE_DER-22,Oligo,-1.52789239025e-09,8.21568386243e-09,0.573766890142
SCZ_PGC3_2020,PsychENCODE_DER-22,Ex6a,-3.1830596177e-09,6.96136316044e-09,0.676253095449
SCZ_PGC3_2020,PsychENCODE_DER-22,OPC,-6.0726662253200005e-09,6.6048778032e-09,0.821062408946
SCZ_PGC3_2020,PsychENCODE_DER-22,Astro,-1.12121839327e-08,6.97968295563e-09,0.945907308539
SCZ_PGC3_2020,PsychENCODE_DER-22,Per,-3.2525407181900004e-08,1.1702136685799999e-08,0.997277379009
SCZ_PGC3_2020,PsychENCODE_DER-22,Microglia,-3.47496524775e-08,7.43711402324e-09,0.9999985119660001
SCZ_PGC3_2020,PsychENCODE_DER-22,Endo,-3.56131286489e-08,7.496355038160001e-09,0.999998986562
SCZ_PGC3_2020,GSE67835_Human_Cortex,neurons,2.98260234968e-08,1.31473985189e-08,0.0116467122542
SCZ_PGC3_2020,GSE67835_Human_Cortex,fetal_quiescent,3.04565606173e-08,1.3738352082499998e-08,0.0133149432695
SCZ_PGC3_2020,GSE67835_Human_Cortex,hybrid,1.55894861575e-08,1.51331676822e-08,0.151468969263
SCZ_PGC3_2020,GSE67835_Human_Cortex,fetal_replicating,1.8559627037300003e-09,2.13033145187e-08,0.46528772932400003
SCZ_PGC3_2020,GSE67835_Human_Cortex,oligodendrocytes,-2.5522526510899996e-09,1.61627328937e-08,0.562736031263
SCZ_PGC3_2020,GSE67835_Human_Cortex,astrocytes,-1.43039094145e-08,1.2653886480600001e-08,0.870845412949
SCZ_PGC3_2020,GSE67835_Human_Cortex,OPC,-2.58628455338e-08,1.73189984262e-08,0.9323235717280001
SCZ_PGC3_2020,GSE67835_Human_Cortex,endothelial,-4.58171788468e-08,1.44481786171e-08,0.999240786969
SCZ_PGC3_2020,GSE67835_Human_Cortex,microglia,-3.53384660458e-08,1.09248891916e-08,0.999391093695
SCZ_PGC3_2020,Allen_human_LGN,GABAergic.LGN_Inh_LAMP5,2.6550263172999998e-08,9.50388126428e-09,0.0026060585625300005
SCZ_PGC3_2020,Allen_human_LGN,Glutamatergic.LGN_Exc_BTNL9,4.27328821698e-08,1.6286194133899997e-08,0.00434682768277
SCZ_PGC3_2020,Allen_human_LGN,GABAergic.LGN_Inh_NTRK1,1.9614002081400002e-08,1.1333788872799998e-08,0.0417635575019
SCZ_PGC3_2020,Allen_human_LGN,Glutamatergic.LGN_Exc_PRKCG_BCHE,1.5800698737e-08,1.18925245949e-08,0.0919859536502
SCZ_PGC3_2020,Allen_human_LGN,GABAergic.LGN_Inh_CTXN3,1.50240667521e-08,1.1829185761799998e-08,0.102027247011
SCZ_PGC3_2020,Allen_human_LGN,Non-Neuronal.OPC_PDGFRA,1.04535044685e-08,9.406321107330001e-09,0.133213676984
SCZ_PGC3_2020,Allen_human_LGN,GABAergic.LGN_Inh_TRPC4,1.17831931473e-08,1.12516199966e-08,0.147493495226
SCZ_PGC3_2020,Allen_human_LGN,Non-Neuronal.Oligo_MAG,9.55190487159e-09,1.0706513431e-08,0.186154043636
SCZ_PGC3_2020,Allen_human_LGN,Glutamatergic.LGN_Exc_PRKCG_GRB14,4.59647831425e-09,1.32203742219e-08,0.364039730694
SCZ_PGC3_2020,Allen_human_LGN,Non-Neuronal.Astro_LGR6,-7.61796376262e-09,1.15666469872e-08,0.744928390336
SCZ_PGC3_2020,Allen_human_LGN,Non-Neuronal.Micro_C1QB,-3.36856148946e-08,9.26118655865e-09,0.999862238801
SCZ_PGC3_2020,Allen_human_LGN,Non-Neuronal.Astro_CPAMD8,-3.57464414874e-08,8.81461137204e-09,0.9999749716590001
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L2_LAMP5_LTK,4.69451284352e-08,1.10626108631e-08,1.0998854595999998e-05
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L5-6_THEMIS_C1QL3,3.93723775012e-08,9.690329710519999e-09,2.42169317306e-05
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L3-5_RORB_ESR1,4.59700557802e-08,1.15796496362e-08,3.59513403225e-05
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L3-5_RORB_FILIP1L,5.0537565211400004e-08,1.3333092710100002e-08,7.52067396956e-05
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L2-3_LINC00507_FREM3,3.780974879e-08,1.04196542274e-08,0.00014242868689799999
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L4-5_RORB_FOLH1B,3.2719718671e-08,1.0265186854799999e-08,0.0007176787294430001
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L3-5_RORB_TWIST2,3.9350261087300005e-08,1.2528103491299999e-08,0.0008419776398439999
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L5-6_THEMIS_FGF10,3.122004574e-08,1.09100416091e-08,0.00210762135845
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L4-6_RORB_SEMA3E,2.9644670160000003e-08,1.0919899002200001e-08,0.0033164061425700006
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L3-4_RORB_CARM1P1,2.62099383865e-08,9.91495283934e-09,0.0041029809614499995
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L2-4_LINC00507_GLP2R,3.25789571313e-08,1.24778107434e-08,0.004514536525439999
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L4-6_RORB_C1R,2.9098020192299997e-08,1.323269397e-08,0.013940771700899999
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L4-5_RORB_DAPK2,2.4071273898599997e-08,1.10153279889e-08,0.014435166129299999
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L5-6_THEMIS_CRABP1,2.16281784949e-08,1.03078157783e-08,0.017942372690900002
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L5-6_THEMIS_DCSTAMP,2.20597347309e-08,1.15305662898e-08,0.0278642495053
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L5-6_SLC17A7_IL15,2.1504820554099998e-08,1.1513879384299999e-08,0.030899841595099998
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L5-6_FEZF2_EFTUD1P1,1.52340445717e-08,8.8106006798e-09,0.0418993069479
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L3-5_RORB_COL22A1,1.69112403935e-08,1.02944216282e-08,0.0502165376848
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L6_FEZF2_SCUBE1,1.87821398113e-08,1.1619959176e-08,0.0530072967404
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L3-5_SST_ADGRG6,1.81440594907e-08,1.2016660678799998e-08,0.0655333719734
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L5-6_SST_TH,1.8612069182799997e-08,1.27735040275e-08,0.0725465881335
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L1-2_GAD1_MC4R,1.51862605468e-08,1.0500782590700001e-08,0.07406017282439999
SCZ_PGC3_2020,Allen_human_MTG,Glutamatergic.Exc_L5-6_RORB_TTC12,1.89105265468e-08,1.4213088972100002e-08,0.09167665801210001
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L2-4_VIP_CBLN1,1.4254659978999999e-08,1.14555502783e-08,0.106686255442
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L1-2_PAX6_CDH12,1.44950052708e-08,1.17494286024e-08,0.108661557545
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L2-5_VIP_TYR,1.3135934890200001e-08,1.10117580736e-08,0.116454115175
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L4-6_SST_B3GAT2,1.0422513505700001e-08,9.93583792354e-09,0.147093239248
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L1-4_LAMP5_LCP2,9.37415017768e-09,9.02256956784e-09,0.14941008994000002
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L1_SST_NMBR,9.46653212194e-09,1.0051691797799998e-08,0.173151374332
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L2-4_PVALB_WFDC2,8.62155993282e-09,9.519613971420001e-09,0.182557187649
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L2-6_LAMP5_CA1,8.485351273720001e-09,9.38558582684e-09,0.18297562020999997
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L2-4_VIP_SPAG17,1.1551033021200001e-08,1.29473187609e-08,0.18615455969
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L1-2_VIP_TSPAN12,1.0157321139e-08,1.2072818228799999e-08,0.20007929487999998
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L1-4_VIP_CHRNA6,1.1119975374799999e-08,1.36115690151e-08,0.206978415774
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L2-6_VIP_QPCT,9.59324286272e-09,1.17801464274e-08,0.207720277082
SCZ_PGC3_2020,Allen_human_MTG,GABAergic.Inh_L1-2_LAMP5_DBP,1.0861214172799998e-08,1.340037049e-08,0.208821847557
