Genes
"('CREB1', 11)"
"('EP300', 11)"
"('FZD7', 11)"
"('PIK3CA', 11)"
"('KIT', 11)"
"('PIK3R1', 11)"
"('JAK2', 11)"
"('NPY1R', 11)"
"('SLC26A2', 11)"
"('FHL1', 11)"
"('UBE2T', 11)"
"('BARD1', 12)"
"('RAD51', 12)"
"('CDH1', 12)"
"('ESR1', 12)"
"('MDM2', 12)"
"('GSK3B', 12)"
"('BRIP1', 12)"
"('CAV1', 12)"
"('EGFR', 13)"
"('PTEN', 13)"
"('PDZK1', 13)"
"('CXCL12', 13)"
"('EGR3', 13)"
"('BCL2', 14)"
"('E2F1', 14)"
"('BAX', 14)"
"('MAPK1', 14)"
"('CCNB1', 14)"
"('AREG', 14)"
"('IGFBP4', 14)"
"('MTOR', 15)"
"('CDK4', 15)"
"('SP1', 15)"
"('VEGFA', 15)"
"('TP53', 15)"
"('HSPB8', 15)"
"('BRCA2', 16)"
"('BRCA1', 16)"
"('PGR', 16)"
"('AKT1', 19)"
"('CCND1', 20)"
"('CTNNB1', 20)"
"('JUN', 22)"
"('FOS', 24)"
"('MYC', 26)"
